min_ref_nir,max_ref_nir,mean_ref_nir,median_ref_nir,std_ref_nir,2.5pct_ref_nir,97.5pct_ref_nir,5pct_ref_nir,95pct_ref_nir,year,doy,hour
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,5.0
0.1326,0.4045,0.2938318681318681,0.32215,0.07585237503910133,0.1356,0.3848,0.14232499999999998,0.375925,2004.0,151.0,6.0
0.1326,0.3958,0.2796450549450549,0.30395000000000005,0.07612966066115294,0.1346,0.375575,0.13899999999999998,0.36785,2004.0,151.0,7.0
0.1326,0.3938,0.2688042124542123,0.2877,0.07518265757853532,0.1342,0.3748,0.13770000000000002,0.36275,2004.0,151.0,8.0
0.1326,0.396,0.2610815018315019,0.2769,0.07409951111240995,0.134,0.3700875,0.13705,0.35955,2004.0,151.0,9.0
0.1326,0.399,0.25609926739926747,0.26990000000000003,0.07334483665318571,0.1339,0.3682,0.13665,0.35807500000000003,2004.0,151.0,10.0
0.1326,0.4016,0.2533388278388278,0.266,0.07299141154517744,0.1338625,0.36788750000000003,0.13647499999999999,0.357225,2004.0,151.0,11.0
0.1326,0.403,0.2522293040293039,0.2643,0.07288377868047251,0.1338625,0.3681875,0.13647499999999999,0.35714999999999997,2004.0,151.0,12.0
0.1326,0.4026,0.2525509157509157,0.26465,0.0729143778945348,0.1338625,0.368,0.13647499999999999,0.35714999999999997,2004.0,151.0,13.0
0.1326,0.4004,0.2543518315018316,0.26795,0.07310380357790473,0.1339,0.36788750000000003,0.136575,0.35735,2004.0,151.0,14.0
0.1326,0.3975,0.258055860805861,0.2733,0.0736317126812688,0.1339,0.368375,0.13685,0.3588,2004.0,151.0,15.0
0.1326,0.3948,0.26420457875457865,0.281,0.07455487799069585,0.134,0.371875,0.13732499999999997,0.3606,2004.0,151.0,16.0
0.1326,0.3933,0.27333021978021976,0.2947,0.07567497897513675,0.1343625,0.3745625,0.138075,0.36460000000000004,2004.0,151.0,17.0
0.1326,0.3994,0.28572435897435894,0.31265,0.07627094684188164,0.135,0.3804875,0.140175,0.371,2004.0,151.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,20.0
